mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,718752000000,1628300000,1624840000,12219400,2196400000,318418000,295710000000000,20224200000,18655000000000,26541700000
0,1000980000000,0,0,58647100,0,4327510000,295670000000000,39497600000,34476900000000,0
0,354037000000,1460590000,1459770000,19381900,10264900,909157000,295640000000000,10876900000,24037800000000,1147600000
0,988704000000,18458000,0,4339800,0,590994000,295610000000000,27726500000,35494900000000,0
14961900000,850031000000,64794000,0,97759100,1158200000,4762830000,295600000000000,42467600000,37551400000000,15232900000
0,909204000000,83915000000,83907900000,0,14937700000,0,295590000000000,36984900000,37287700000000,145165000000
0,1079030000000,12506900,0,118018000,0,5538250000,295530000000000,72528900000,33973500000000,0
0,655171000000,1756300000,1754560000,2033560,72193300,388756000,295500000000000,21376700000,27308700000000,3924260000
0,1033200000000,29029700,0,79746100,69922600,3171700000,295420000000000,66471300000,37630000000000,3115230000
0,1093760000000,1623280,0,16962700,7818310000,453958000,295270000000000,71239900000,30765600000000,109630000000
0,1002510000000,802853,0,101991,0,44906100,295250000000000,55743000000,41108200000000,0
0,737709000000,8166450000,8140530000,3419460,599437000,192412000,295200000000000,28241200000,36463500000000,21920300000
0,558935000000,2524740000,2519710000,166105000,2606510000,4609210000,295130000000000,18051100000,24187900000000,25543900000
19883700000,703639000000,1953080000,1952350000,0,4205310000,0,295110000000000,28992800000,33235500000000,42404800000
0,740397000000,4865170000,4832320000,8019220,7515490,582475000,295080000000000,29598300000,30435600000000,429779000
0,646602000000,515853000,509493000,16689700,5810730,1286160000,295070000000000,35852600000,33994400000000,813452000
0,837165000000,811255000,0,8098300,0,632520000,294980000000000,49983300000,37955200000000,0
0,736461000000,8418650000,8417700000,1483570,195254000,446646000,294970000000000,43130400000,27696600000000,7521700000
0,1091980000000,0,0,81904800,8569580000,5419310000,294950000000000,104552000000,38231000000000,127513000000
0,680812000000,265567000,257739000,2916.97,5136430000,3671440,294900000000000,27679600000,30112200000000,64729100000
0,749323000000,1343890000,1343010000,49585500,3332400,1650240000,294880000000000,23355500000,32307300000000,232977000
0,866091000000,3555390000,3555230000,629303,1269340000,85433700,294810000000000,25823300000,27155100000000,12853000000
0,582533000000,5502450000,5491780000,12398700,2591520000,812207000,294800000000000,19624200000,34942900000000,31478800000
0,1362810000000,3707390000,3705420000,768402,10343800000,155683000,294770000000000,103394000000,38962600000000,126625000000
0,342285000000,1030550000,961187000,27793700,11362900,1098950000,294730000000000,9749400000,22060500000000,1398320000
0,792533000000,12751200,0,111770000,0,7718370000,294650000000000,31500300000,31039700000000,0
0,659430000000,232137000,206392000,6844260,6754780,1345800000,294610000000000,23560900000,31016500000000,497429000
0,1034700000000,0,0,0,0,0,294600000000000,53995700000,36468300000000,0
0,796562000000,2971780000,2892990000,5372440,5350850000,322449000,294550000000000,32342200000,36604600000000,65917100000
0,1263810000000,79043900,78071200,8796850,15588000000,496605000,294370000000000,73471500000,35049200000000,128024000000
5097230000,751656000000,4836150000,4835860000,411282000,130481000,9661760000,294130000000000,34906400000,35183800000000,4772960000
0,630374000000,211021000,208292000,10601100,6245440,1470220000,294110000000000,20790500000,33504300000000,439416000
0,1020400000000,7905430000,7634970000,0,686004000,0,293980000000000,51561900000,34964500000000,14912400000
0,768618000000,3711870,0,198271000,0,8663200000,293970000000000,51394000000,34627400000000,0
0,659394000000,412720000,411562000,203190000,5006270000,6957320000,293940000000000,29871500000,26597500000000,49488600000
0,774998000000,22531100,0,150048000,6057780000,9416660000,293900000000000,40494800000,31792000000000,78068000000
0,1470440000000,4912940,0,646391,5088610000,130027000,293890000000000,102855000000,35885700000000,85602600000
0,1290130000000,1484440,0,38149300,24193700000,1477930000,293810000000000,113147000000,40077100000000,217877000000
0,411478000000,135711000,135711000,333144,177723,36794000,293780000000000,12634600000,28680200000000,92963700
0,813187000000,49745500000,49737100000,3177660,1198290000,220522000,293770000000000,47395800000,35011000000000,23248400000
0,1437370000000,94585100000,91754100000,0,10023400000,0,293710000000000,80247800000,38258100000000,165711000000
0,844326000000,3911480000,3911480000,0,56701300,0,293660000000000,23301800000,29533500000000,2338920000
0,1070470000000,1786340000,1786340000,37188.2,11234800,30903300,293610000000000,93461600000,39571100000000,753901000
0,883421000000,4359470000,4258920000,2372570,172552000,917664000,293560000000000,39207400000,33361600000000,9013030000
0,1114100000000,1167100000,1125580000,4366.83,4958640000,3672140,293550000000000,28099000000,29421900000000,51080800000
9273200000,743349000000,1448670,0,164828000,0,13182500000,293480000000000,37852100000,32879400000000,0
0,1053990000000,0,0,4434640,0,281220000,293430000000000,71540800000,41249800000000,0
0,1020760000000,14739100,7801520,139603000,5298910000,3954200000,293410000000000,54777700000,35749100000000,61757800000
0,1020080000000,195113000,150338000,0,3640700000,0,293380000000000,31499700000,33336100000000,46004100000
0,323261000000,1060150000,838862000,18069800,4369610,1131280000,293350000000000,5576910000,13149800000000,1437860000
0,843913000000,1540020000,1537700000,35215.9,14342100,198751000,293300000000000,33381500000,29056200000000,938703000
