mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
4207350000,1159030000000,4964640000,4964640000,3287630,7777560000,356209000,450280000000000,105882000000,59285500000000,115993000000
0,726866000000,749963000,662619000,42194100,307917,1405620000,449710000000000,24897700000,3478620000000,43167200
0,765629000000,3144350000,3137250000,0,4693040000,0,449600000000000,36347700000,49713800000000,59558200000
0,753511000000,222076000,183901000,6815270,3746400000,1038650000,449440000000000,41145800000,45637800000000,32370600000
0,1212800000000,5653330000,5474700000,149015000,41058900,6200570000,448920000000000,55548400000,52663400000000,2934320000
0,1656020000000,5989220000,5957380000,8269640,2864880000,1011560000,448740000000000,100221000000,60331200000000,44407600000
0,1635150000000,190524000,181643000,25392300,16421200000,1235320000,448590000000000,179697000000,56247300000000,195533000000
0,1302280000000,34655400,0,278776000,0,10990300000,448460000000000,80930300000,53323600000000,0
0,1642850000000,764143000,522131000,18136000,0,1166690000,448330000000000,100041000000,56503800000000,0
0,1342100000000,8967170,0,88667900,0,4488920000,448230000000000,94911800000,54083800000000,0
0,1331930000000,12600200,0,1757230,0,371237000,448150000000000,111281000000,56159000000000,0
0,1557840000000,3730580,0,286801000,13638400000,7741800000,447950000000000,100306000000,46934000000000,133777000000
0,1596540000000,9570870,0,29709600,0,7075450000,447900000000000,139222000000,59306200000000,0
0,1550020000000,1342830000,1335660000,26877400,192156000,1257770000,447520000000000,114676000000,57608200000000,5710220000
0,1008830000000,22786300,0,427994000,0,17210400000,447420000000000,73826000000,47687900000000,0
0,1321550000000,14266200,0,275148000,782151000,13295600000,447410000000000,142636000000,56563800000000,15100000000
0,991252000000,33569500000,33558500000,6837920,5186700000,305722000,446440000000000,41696200000,43432700000000,58081900000
0,1676570000000,2992150000,2871400000,0,15285500000,0,445780000000000,197717000000,59271700000000,184517000000
0,1285660000000,3867880000,3867880000,4531400,14631200000,372639000,445440000000000,108884000000,56595100000000,123454000000
0,966657000000,715137000,614739000,20644500,104486000,1104130000,445310000000000,39170800000,44738600000000,5104360000
0,718187000000,1119080000,1017040000,5505360,13483400,572165000,444480000000000,31668200000,46866500000000,1304440000
8084960000,1387720000000,50309600,0,367352000,9930430000,12470000000,444320000000000,164815000000,60377700000000,162562000000
0,1722810000000,29509500000,29327900000,65661200,24349200000,2844450000,444160000000000,119828000000,56455900000000,246380000000
0,821453000000,3002540000,2976680000,58741200,1454160,2699000000,444100000000000,33799200000,46735800000000,86661800
0,1121250000000,2007580000,1872340000,23607100,23270300,895313000,443770000000000,53524200000,48559200000000,3260110000
0,1623600000000,721103000,721103000,91991700,23365100000,2037430000,443610000000000,174011000000,51814300000000,201229000000
0,588192000000,2127450000,244769000,210794000,100407000,8535230000,443460000000000,21383500000,39635300000000,3749490000
0,1302970000000,1468300000,1463410000,12634900,156651000,1068220000,443450000000000,99020800000,53644500000000,6402440000
0,1893010000000,943675000,902432000,42669700,5627680000,1924450000,442740000000000,156582000000,58294400000000,77216800000
716719000,936278000000,2885990000,2773440000,24085000,2297130000,736339000,442440000000000,74224900000,49243500000000,34874900000
0,1345900000000,15090700000,15056800000,3626340,1768920000,582992000,442350000000000,76560300000,58543100000000,22231300000
0,1036230000000,5342950000,5342950000,21039300,974854000,1333040000,441820000000000,85224400000,52846400000000,17172300000
0,983597000000,316076000,315742000,0,1273910000,0,441730000000000,49976700000,41671000000000,18623200000
0,1243810000000,2646720000,2177100000,32371800,782423000,1741000000,441710000000000,83626700000,55321900000000,14132700000
277223000,2270580000000,3052370000,3001090000,0,89006500,0,441650000000000,209840000000,62276400000000,3354740000
0,1817070000000,0,0,319382000,1086930000,17617700000,441650000000000,105201000000,59222800000000,16125500000
0,1106400000000,1918260,0,118722000,7055630000,2989890000,441630000000000,82182900000,52975200000000,68310400000
0,492618000000,2736140000,2729280000,0,10082900,0,441360000000000,11789100000,29683000000000,1072050000
0,905664000000,219822000,174848000,4627550,2754460000,464542000,441050000000000,46329900000,52415800000000,30133700000
0,1210110000000,1050250,0,18841000,105332000,2378970000,440950000000000,159565000000,58697700000000,4612330000
0,1193040000000,221346000,192497000,447107000,9005190000,11156300000,440540000000000,65753600000,48951000000000,101576000000
0,2064180000000,281727,0,1154920,0,253819000,440340000000000,135341000000,52162100000000,0
0,1474870000000,6654540000,6633850000,1511340,413072000,224586000,440220000000000,65074000000,53361000000000,6863080000
0,960096000000,1795270000,1704770000,0,2092520000,0,439930000000000,44065700000,40007000000000,24075200000
0,1605530000000,1501250000,1499050000,2.37686,14696000000,2637.38,439860000000000,70156700000,52960300000000,122404000000
0,1315420000000,272699000,0,105329000,17395000000,8106450000,439650000000000,123610000000,54082800000000,206804000000
0,878933000000,1121640000,1113180000,3523280,6893320,392792000,439390000000000,62353900000,51209900000000,393062000
0,1125430000000,1238390000,1221640000,1896360,3002270000,548174000,439160000000000,59233000000,50044600000000,34202200000
0,1839880000000,713597000,0,85159000,973757000,5371340000,438550000000000,176103000000,58924600000000,18057200000
0,1376860000000,25726900,0,59166500,970800000,3018970000,438000000000000,86828300000,50183500000000,15409000000
